segment_name,time_second,bitrate_kbps
ai_seg_6_720p.mp4,8,990.66
ai_seg_6_720p.mp4,9,800.73
ai_seg_7_1080p.mp4,0,1900.93
ai_seg_7_1080p.mp4,1,1852.6
ai_seg_7_1080p.mp4,2,1981.76
ai_seg_7_1080p.mp4,3,2196.02
ai_seg_7_1080p.mp4,4,2287.5
ai_seg_7_1080p.mp4,5,2843.54
ai_seg_7_1080p.mp4,6,2402.81
ai_seg_7_1080p.mp4,7,1860.56
ai_seg_7_1080p.mp4,8,1771.22
ai_seg_7_1080p.mp4,9,1524.7
ai_seg_7_360p.mp4,0,333.35
ai_seg_7_360p.mp4,1,332.5
ai_seg_7_360p.mp4,2,362.73
ai_seg_7_360p.mp4,3,360.18
ai_seg_7_360p.mp4,4,480.33
ai_seg_7_360p.mp4,5,586.44
ai_seg_7_360p.mp4,6,437.26
ai_seg_7_360p.mp4,7,346.33
ai_seg_7_360p.mp4,8,338.19
ai_seg_7_360p.mp4,9,223.78
ai_seg_7_480p.mp4,0,501.58
ai_seg_7_480p.mp4,1,515.19
ai_seg_7_480p.mp4,2,533.5
ai_seg_7_480p.mp4,3,559.06
ai_seg_7_480p.mp4,4,702.46
ai_seg_7_480p.mp4,5,868.12
ai_seg_7_480p.mp4,6,697.8
ai_seg_7_480p.mp4,7,541.88
ai_seg_7_480p.mp4,8,530.61
ai_seg_7_480p.mp4,9,393.5
ai_seg_7_720p.mp4,0,984.3
ai_seg_7_720p.mp4,1,955.41
ai_seg_7_720p.mp4,2,1030.26
ai_seg_7_720p.mp4,3,1092.23
ai_seg_7_720p.mp4,4,1300.23
ai_seg_7_720p.mp4,5,1597.66
ai_seg_7_720p.mp4,6,1378.98
ai_seg_7_720p.mp4,7,1052.98
ai_seg_7_720p.mp4,8,1051.63
ai_seg_7_720p.mp4,9,795.88
ai_seg_8_1080p.mp4,0,1866.66
ai_seg_8_1080p.mp4,1,1919.45
ai_seg_8_1080p.mp4,2,2880.68
ai_seg_8_1080p.mp4,3,2018.3
ai_seg_8_1080p.mp4,4,1925.05
ai_seg_8_1080p.mp4,5,2115.38
ai_seg_8_1080p.mp4,6,2172.46
ai_seg_8_1080p.mp4,7,2062.7
ai_seg_8_1080p.mp4,8,2762.04
ai_seg_8_1080p.mp4,9,1578.87
ai_seg_8_360p.mp4,0,358.2
ai_seg_8_360p.mp4,1,433.18
ai_seg_8_360p.mp4,2,532.66
ai_seg_8_360p.mp4,3,347.92
ai_seg_8_360p.mp4,4,373.19
ai_seg_8_360p.mp4,5,371.45
ai_seg_8_360p.mp4,6,355.73
ai_seg_8_360p.mp4,7,309.67
ai_seg_8_360p.mp4,8,467.22
ai_seg_8_360p.mp4,9,297.46
ai_seg_8_480p.mp4,0,560.66
ai_seg_8_480p.mp4,1,663.11
ai_seg_8_480p.mp4,2,854.35
ai_seg_8_480p.mp4,3,527.54
ai_seg_8_480p.mp4,4,543.79
ai_seg_8_480p.mp4,5,559.1
ai_seg_8_480p.mp4,6,545.92
ai_seg_8_480p.mp4,7,494.41
ai_seg_8_480p.mp4,8,732.53
ai_seg_8_480p.mp4,9,455.38
ai_seg_8_720p.mp4,0,1055.82
ai_seg_8_720p.mp4,1,1224.78
ai_seg_8_720p.mp4,2,1602.76
ai_seg_8_720p.mp4,3,1153.89
ai_seg_8_720p.mp4,4,1148.05
ai_seg_8_720p.mp4,5,1133.06
ai_seg_8_720p.mp4,6,1074.1
ai_seg_8_720p.mp4,7,1023.54
ai_seg_8_720p.mp4,8,1510.6
ai_seg_8_720p.mp4,9,946.12
ai_seg_9_1080p.mp4,0,2093.67
ai_seg_9_1080p.mp4,1,2484.5
ai_seg_9_1080p.mp4,2,2126.33
ai_seg_9_1080p.mp4,3,2042.64
ai_seg_9_1080p.mp4,4,1913.82
ai_seg_9_1080p.mp4,5,2333.16
ai_seg_9_1080p.mp4,6,1829.94
ai_seg_9_1080p.mp4,7,1291.11
ai_seg_9_1080p.mp4,8,1831.77
ai_seg_9_1080p.mp4,9,1724.18
ai_seg_9_360p.mp4,0,357.36
ai_seg_9_360p.mp4,1,422.06
ai_seg_9_360p.mp4,2,338.38
ai_seg_9_360p.mp4,3,379.35
ai_seg_9_360p.mp4,4,465.95
ai_seg_9_360p.mp4,5,528.17
ai_seg_9_360p.mp4,6,470.72
ai_seg_9_360p.mp4,7,319.81
ai_seg_9_360p.mp4,8,312.19
ai_seg_9_360p.mp4,9,323.92
